Age  group,Job,Marital Status,Education level,Housing Loan,Personal Loan,Contact,Month,Duration(Sec),Average of Duration,Campaign,Outcome(Yes/No),Final Out come,prev campaign response,prsnt campaign response
Middle age,Blue-Collar,Divorced,Primary,0,0,telephone,may,208,258.2850101971448,1,no,0,0,0
Middle age,Unknown,Married,Primary,1,0,telephone,may,336,258.2850101971448,1,no,0,0,0
Young age,Services,Married,High School,0,0,telephone,may,365,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Primary,1,0,telephone,may,1666,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,1,0,telephone,may,577,258.2850101971448,1,no,0,0,0
Old age,Technician,Married,Primary,1,0,telephone,may,137,258.2850101971448,1,no,0,0,0
Old age,Management,Unknown,Professional,1,0,telephone,may,366,258.2850101971448,1,no,0,0,0
Young age,Entrepreneur,Married,High School,1,0,telephone,may,314,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Single,Professional,0,0,telephone,may,160,258.2850101971448,1,no,0,0,0
Old age,Admin.,Married,Professional,0,1,telephone,may,212,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,1,0,telephone,may,188,258.2850101971448,1,no,0,0,0
Middle age,Technician,Single,Professional,0,0,telephone,may,22,258.2850101971448,1,no,0,0,0
Old age,Admin.,Married,Professional,1,1,telephone,may,616,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,1,telephone,may,178,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,1,0,telephone,may,355,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,225,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Married,High School,0,0,telephone,may,160,258.2850101971448,1,no,0,0,0
Middle age,Housemaid,Married,Primary,0,1,telephone,may,266,258.2850101971448,1,no,0,0,0
Old age,Admin.,Married,High School,0,0,telephone,may,253,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Single,Professional,0,0,telephone,may,179,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,269,258.2850101971448,2,no,0,0,0
Middle age,Technician,Married,Professional,1,0,telephone,may,135,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Professional,0,1,telephone,may,161,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,1,0,telephone,may,787,258.2850101971448,1,no,0,0,0
Middle age,Unemployed,Married,Professional,1,1,telephone,may,145,258.2850101971448,1,no,0,0,0
Young age,Technician,Single,Professional,1,0,telephone,may,174,258.2850101971448,1,no,0,0,0
Middle age,Entrepreneur,Married,Professional,0,0,telephone,may,449,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,812,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,164,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,366,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,High School,0,0,telephone,may,357,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,0,0,telephone,may,232,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Single,Primary,1,0,telephone,may,91,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Unknown,1,0,telephone,may,273,258.2850101971448,1,no,0,0,0
Old age,Admin.,Married,Primary,1,0,telephone,may,158,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Single,Primary,1,1,telephone,may,177,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Primary,0,0,telephone,may,200,258.2850101971448,1,no,0,0,0
Middle age,Management,Divorced,Professional,1,0,telephone,may,172,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,1,0,telephone,may,176,258.2850101971448,1,no,0,0,0
Old age,Unknown,Married,Unknown,0,0,telephone,may,211,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,1,0,telephone,may,214,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,1,0,telephone,may,1575,258.2850101971448,1,yes,1,0,1
Middle age,Technician,Married,Professional,0,0,telephone,may,349,258.2850101971448,1,no,0,0,0
Young age,Services,Married,High School,1,0,telephone,may,337,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Unknown,1,0,telephone,may,272,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,208,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,193,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,212,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,High School,0,0,telephone,may,165,258.2850101971448,2,no,0,0,0
Middle age,Entrepreneur,Married,Professional,1,0,telephone,may,1042,258.2850101971448,1,yes,1,0,1
Middle age,Technician,Single,Professional,0,1,telephone,may,20,258.2850101971448,1,no,0,0,0
Young age,Admin.,Divorced,High School,0,0,telephone,may,246,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Primary,0,0,telephone,may,529,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Married,Professional,1,1,telephone,may,192,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Primary,0,0,telephone,may,1467,258.2850101971448,1,yes,1,0,1
Young age,Admin.,Married,High School,1,0,telephone,may,188,258.2850101971448,2,no,0,0,0
Young age,Admin.,Married,Professional,1,0,telephone,may,180,258.2850101971448,2,no,0,0,0
Old age,Unknown,Married,Unknown,1,0,telephone,may,48,258.2850101971448,1,no,0,0,0
Old age,Admin.,Married,Unknown,0,1,telephone,may,213,258.2850101971448,2,no,0,0,0
Young age,Unemployed,Married,Primary,0,0,telephone,may,545,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,1,telephone,may,583,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,Professional,1,0,telephone,may,221,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Professional,0,0,telephone,may,426,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Divorced,Professional,0,0,telephone,may,287,258.2850101971448,1,no,0,0,0
Middle age,Technician,Single,Professional,0,0,telephone,may,197,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,257,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,Unknown,1,0,telephone,may,229,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,55,258.2850101971448,3,no,0,0,0
Middle age,Services,Married,Unknown,0,0,telephone,may,400,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Divorced,Professional,0,0,telephone,may,197,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Divorced,Professional,0,0,telephone,may,190,258.2850101971448,1,no,0,0,0
Middle age,Services,Single,High School,0,0,telephone,may,21,258.2850101971448,1,no,0,0,0
Young age,Housemaid,Married,Primary,1,0,telephone,may,300,258.2850101971448,2,no,0,0,0
Young age,Admin.,Married,High School,1,0,telephone,may,123,258.2850101971448,2,no,0,0,0
Middle age,Entrepreneur,Married,Unknown,1,0,telephone,may,293,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Unknown,1,1,telephone,may,325,258.2850101971448,1,no,0,0,0
Old age,Retired,Divorced,Professional,0,0,telephone,may,514,258.2850101971448,1,no,0,0,0
Old age,Unemployed,Married,Primary,0,0,telephone,may,849,258.2850101971448,2,no,0,0,0
Young age,Services,Divorced,High School,1,0,telephone,may,194,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,212,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Professional,0,0,telephone,may,337,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,High School,0,0,telephone,may,286,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Divorced,Professional,0,0,telephone,may,247,258.2850101971448,2,no,0,0,0
Old age,Blue-Collar,Divorced,Unknown,1,0,telephone,may,518,258.2850101971448,1,no,0,0,0
Old age,Admin.,Married,Unknown,1,0,telephone,may,364,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,1,0,telephone,may,178,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,High School,1,0,telephone,may,98,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Divorced,High School,0,0,telephone,may,439,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,0,0,telephone,may,139,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,High School,1,0,telephone,may,79,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,1,1,telephone,may,175,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,0,1,telephone,may,262,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Married,Primary,0,0,telephone,may,61,258.2850101971448,1,no,0,0,0
Young age,Technician,Divorced,Professional,1,1,telephone,may,78,258.2850101971448,1,no,0,0,0
Old age,Retired,Married,Primary,1,0,telephone,may,102,258.2850101971448,2,no,0,0,0
Middle age,Technician,Married,Professional,1,0,telephone,may,579,258.2850101971448,1,yes,1,0,1
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,143,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,0,0,telephone,may,677,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Unknown,1,0,telephone,may,267,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,345,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Professional,0,0,telephone,may,185,258.2850101971448,1,no,0,0,0
Middle age,Management,Divorced,Professional,0,0,telephone,may,207,258.2850101971448,1,no,0,0,0
Middle age,Housemaid,Married,Primary,0,0,telephone,may,69,258.2850101971448,2,no,0,0,0
Old age,Blue-Collar,Married,Primary,0,0,telephone,may,100,258.2850101971448,2,no,0,0,0
Young age,Services,Married,High School,1,0,telephone,may,125,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,461,258.2850101971448,1,yes,1,0,1
Middle age,Unemployed,Single,Professional,1,0,telephone,may,240,258.2850101971448,1,no,0,0,0
Old age,Management,Married,Unknown,1,0,telephone,may,70,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Professional,1,0,telephone,may,193,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,136,258.2850101971448,1,no,0,0,0
Middle age,Unknown,Divorced,High School,1,0,telephone,may,73,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,528,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,541,258.2850101971448,1,no,0,0,0
Young age,Admin.,Single,High School,1,0,telephone,may,338,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,1,0,telephone,may,163,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,87,258.2850101971448,1,no,0,0,0
Old age,Blue-Collar,Married,Primary,0,0,telephone,may,301,258.2850101971448,1,no,0,0,0
Old age,Entrepreneur,Married,Unknown,1,0,telephone,may,46,258.2850101971448,1,no,0,0,0
Middle age,Services,Divorced,High School,1,0,telephone,may,52,258.2850101971448,1,no,0,0,0
Old age,Entrepreneur,Married,Unknown,0,0,telephone,may,204,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Unknown,1,1,telephone,may,155,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,98,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Unknown,1,0,telephone,may,71,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Unknown,0,0,telephone,may,243,258.2850101971448,1,no,0,0,0
Middle age,Technician,Single,Professional,1,0,telephone,may,186,258.2850101971448,2,no,0,0,0
Old age,Services,Married,High School,0,0,telephone,may,579,258.2850101971448,2,no,0,0,0
Young age,Management,Single,Professional,1,0,telephone,may,165,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Single,Primary,1,1,telephone,may,163,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,46,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,559,258.2850101971448,3,no,0,0,0
Middle age,Services,Divorced,High School,0,0,telephone,may,2033,258.2850101971448,1,no,0,0,0
Middle age,Entrepreneur,Married,Primary,0,0,telephone,may,85,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,1,1,telephone,may,506,258.2850101971448,1,no,0,0,0
Old age,Admin.,Divorced,Unknown,0,0,telephone,may,114,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Unknown,0,0,telephone,may,114,258.2850101971448,2,no,0,0,0
Middle age,Management,Divorced,Professional,1,0,telephone,may,843,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,High School,0,1,telephone,may,181,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,0,0,telephone,may,427,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,1,1,telephone,may,292,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Single,Professional,0,0,telephone,may,192,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,0,0,telephone,may,93,258.2850101971448,3,no,0,0,0
Middle age,Management,Married,Primary,0,0,telephone,may,128,258.2850101971448,2,no,0,0,0
Middle age,Services,Married,High School,1,1,telephone,may,107,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Single,Primary,0,0,telephone,may,303,258.2850101971448,2,no,0,0,0
Young age,Services,Married,High School,1,0,telephone,may,81,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,270,258.2850101971448,1,no,0,0,0
Young age,Technician,Married,High School,0,0,telephone,may,228,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,240,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,673,258.2850101971448,2,yes,1,0,1
Middle age,Admin.,Married,Professional,1,0,telephone,may,233,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,102,258.2850101971448,1,no,0,0,0
Old age,Management,Married,Professional,0,0,telephone,may,461,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Primary,0,0,telephone,may,250,258.2850101971448,1,no,0,0,0
Middle age,Retired,Married,High School,0,0,telephone,may,130,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,252,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,Professional,1,0,telephone,may,138,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,0,0,telephone,may,412,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Single,Primary,1,0,telephone,may,179,258.2850101971448,2,no,0,0,0
Middle age,Management,Divorced,Professional,0,0,telephone,may,19,258.2850101971448,2,no,0,0,0
Middle age,Technician,Married,Professional,0,0,telephone,may,228,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Single,Primary,1,0,telephone,may,55,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,717,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,High School,1,0,telephone,may,313,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Single,Primary,0,0,telephone,may,289,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Primary,1,0,telephone,may,683,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,1077,258.2850101971448,1,no,0,0,0
Young age,Services,Married,High School,0,0,telephone,may,146,258.2850101971448,2,no,0,0,0
Young age,Services,Single,Primary,0,0,telephone,may,167,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,High School,1,0,telephone,may,356,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Married,Unknown,0,0,telephone,may,277,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,172,258.2850101971448,1,no,0,0,0
Young age,Student,Single,Professional,0,0,telephone,may,218,258.2850101971448,1,no,0,0,0
Young age,Student,Single,Professional,1,1,telephone,may,217,258.2850101971448,1,no,0,0,0
Young age,Unemployed,Married,Professional,0,0,telephone,may,67,258.2850101971448,1,no,0,0,0
Middle age,Services,Single,Primary,0,0,telephone,may,291,258.2850101971448,1,no,0,0,0
Young age,Student,Single,Professional,1,0,telephone,may,248,258.2850101971448,1,no,0,0,0
Middle age,Student,Single,Primary,1,0,telephone,may,256,258.2850101971448,1,no,0,0,0
Middle age,Housemaid,Divorced,Professional,0,0,telephone,may,286,258.2850101971448,1,no,0,0,0
Old age,Admin.,Married,Professional,0,0,telephone,may,477,258.2850101971448,1,no,0,0,0
Old age,Retired,Married,Unknown,0,0,telephone,may,611,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Professional,1,0,telephone,may,471,258.2850101971448,1,no,0,0,0
Middle age,Housemaid,Married,Primary,1,0,telephone,may,381,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Single,Unknown,1,0,telephone,may,251,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Single,Unknown,1,1,telephone,may,408,258.2850101971448,1,no,0,0,0
Middle age,Housemaid,Married,Primary,0,0,telephone,may,287,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,0,0,telephone,may,322,258.2850101971448,3,no,0,0,0
Young age,Admin.,Married,High School,1,0,telephone,may,216,258.2850101971448,2,no,0,0,0
Middle age,Technician,Married,Unknown,0,0,telephone,may,366,258.2850101971448,2,no,0,0,0
Middle age,Services,Single,Primary,1,0,telephone,may,210,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Primary,1,0,telephone,may,288,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Primary,0,0,telephone,may,168,258.2850101971448,1,no,0,0,0
Old age,Retired,Married,Professional,0,0,telephone,may,132,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,0,0,telephone,may,64,258.2850101971448,2,no,0,0,0
Young age,Admin.,Single,Professional,0,0,telephone,may,209,258.2850101971448,2,no,0,0,0
Middle age,Retired,Married,Primary,0,0,telephone,may,410,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,177,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,1,0,telephone,may,580,258.2850101971448,2,no,0,0,0
Middle age,Services,Divorced,Professional,1,0,telephone,may,165,258.2850101971448,1,no,0,0,0
Young age,Management,Divorced,Primary,1,0,telephone,may,127,258.2850101971448,2,no,0,0,0
Middle age,Admin.,Married,High School,0,0,telephone,may,357,258.2850101971448,1,no,0,0,0
Middle age,Self-Employed,Married,Professional,0,0,telephone,may,175,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Professional,1,0,telephone,may,300,258.2850101971448,1,no,0,0,0
Old age,Blue-Collar,Married,Primary,0,0,telephone,may,136,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,High School,0,0,telephone,may,125,258.2850101971448,2,no,0,0,0
Young age,Services,Married,High School,0,1,telephone,may,189,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Professional,0,1,telephone,may,213,258.2850101971448,3,no,0,0,0
Old age,Retired,Married,High School,0,0,telephone,may,238,258.2850101971448,2,no,0,0,0
Middle age,Technician,Single,Professional,0,0,telephone,may,124,258.2850101971448,1,no,0,0,0
Young age,Management,Married,Professional,1,0,telephone,may,18,258.2850101971448,1,no,0,0,0
Young age,Services,Single,Primary,0,0,telephone,may,730,258.2850101971448,2,no,0,0,0
Young age,Technician,Married,Professional,0,0,telephone,may,40,258.2850101971448,1,no,0,0,0
Young age,Services,Divorced,Unknown,0,0,telephone,may,181,258.2850101971448,2,no,0,0,0
Young age,Technician,Single,Professional,0,0,telephone,may,79,258.2850101971448,1,no,0,0,0
Middle age,Technician,Single,High School,1,0,telephone,may,142,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Single,High School,0,1,telephone,may,389,258.2850101971448,1,no,0,0,0
Young age,Services,Single,High School,0,0,telephone,may,702,258.2850101971448,1,no,0,0,0
Middle age,Technician,Divorced,Professional,0,0,telephone,may,151,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,211,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,Primary,1,0,telephone,may,117,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Professional,1,0,telephone,may,232,258.2850101971448,3,no,0,0,0
Young age,Services,Married,Unknown,0,0,telephone,may,408,258.2850101971448,2,no,0,0,0
Middle age,Services,Married,High School,1,1,telephone,may,370,258.2850101971448,3,no,0,0,0
Old age,Blue-Collar,Married,Primary,1,0,telephone,may,179,258.2850101971448,2,no,0,0,0
Middle age,Management,Married,Primary,0,1,telephone,may,46,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,Unknown,1,0,telephone,may,200,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,High School,0,1,telephone,may,50,258.2850101971448,1,no,0,0,0
Young age,Admin.,Married,High School,0,1,telephone,may,181,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Single,Primary,1,1,telephone,may,119,258.2850101971448,1,no,0,0,0
Middle age,Technician,Married,High School,0,0,telephone,may,361,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Divorced,Primary,0,0,telephone,may,73,258.2850101971448,3,no,0,0,0
Middle age,Admin.,Married,Professional,0,0,telephone,may,67,258.2850101971448,2,no,0,0,0
Young age,Blue-Collar,Single,Primary,0,0,telephone,may,350,258.2850101971448,1,no,0,0,0
Young age,Self-Employed,Single,Professional,1,0,telephone,may,150,258.2850101971448,2,no,0,0,0
Young age,Student,Single,Professional,0,0,telephone,may,332,258.2850101971448,2,no,0,0,0
Middle age,Management,Divorced,Professional,0,0,telephone,may,611,258.2850101971448,2,no,0,0,0
Middle age,Self-Employed,Married,Primary,0,0,telephone,may,58,258.2850101971448,3,no,0,0,0
Middle age,Unemployed,Married,High School,1,0,telephone,may,151,258.2850101971448,1,no,0,0,0
Middle age,Management,Divorced,Professional,0,0,telephone,may,89,258.2850101971448,2,no,0,0,0
Middle age,Housemaid,Married,Primary,0,0,telephone,may,152,258.2850101971448,1,no,0,0,0
Young age,Admin.,Single,High School,0,0,telephone,may,611,258.2850101971448,2,no,0,0,0
Middle age,Housemaid,Single,High School,1,1,telephone,may,110,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,463,258.2850101971448,1,no,0,0,0
Young age,Services,Married,High School,0,0,telephone,may,962,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,102,258.2850101971448,2,no,0,0,0
Middle age,Technician,Single,Primary,0,0,telephone,may,10,258.2850101971448,4,no,0,0,0
Middle age,Retired,Married,Professional,0,0,telephone,may,118,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,0,0,telephone,may,92,258.2850101971448,2,no,0,0,0
Old age,Technician,Married,Primary,1,0,telephone,may,143,258.2850101971448,3,no,0,0,0
Middle age,Admin.,Married,Primary,0,0,telephone,may,189,258.2850101971448,3,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,75,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,1,0,telephone,may,189,258.2850101971448,2,no,0,0,0
Middle age,Blue-Collar,Divorced,Primary,0,0,telephone,may,55,258.2850101971448,2,no,0,0,0
Middle age,Housemaid,Married,Primary,1,0,telephone,may,935,258.2850101971448,3,yes,1,0,1
Middle age,Admin.,Single,High School,1,1,telephone,may,56,258.2850101971448,2,no,0,0,0
Old age,Blue-Collar,Married,Unknown,1,0,telephone,may,5,258.2850101971448,2,no,0,0,0
Middle age,Services,Married,High School,0,0,telephone,may,225,258.2850101971448,2,no,0,0,0
Middle age,Management,Divorced,Professional,1,0,telephone,may,125,258.2850101971448,2,no,0,0,0
Young age,Admin.,Married,High School,1,1,telephone,may,286,258.2850101971448,2,no,0,0,0
